age,2012,2013,2014,2015,Mean,freq
1,847.01,1292.64,1032.81,1153.68,1081.535,1081535
2,736.02,728.79,1112.32,888.59,866.43,866430
3,640.51,632.74,626.71,955.91,713.9675,713968
4,502.7,548.84,542.77,536.35,532.665,532665
5,307.96,425.71,466.6,457.55,414.455,414455
6,211.47,250.74,351.27,374.03,296.8775,296878
7,136.24,155.58,191.57,247.32,182.6775,182678
8,93.22,86.36,106.15,111.46,99.2975,99298
9,62.66,53.26,54.46,54.08,56.115,56115
10,38.9,34.37,32.56,26.33,33.04,33040
11,25.62,21.08,20.82,15.5,20.755,20755
12,19.62,13.84,12.73,9.87,14.015,14015
13,12.81,10.58,8.35,6.03,9.4425,9443
14,10.81,6.91,6.39,3.95,7.015,7015
15,7.92,5.83,4.17,3.02,5.235,5235
16,4.88,4.27,3.52,1.97,3.66,3660
17,3.38,2.63,2.58,1.67,2.565,2565
18,2.17,1.82,1.59,1.22,1.7,1700
19,1.38,1.17,1.1,0.75,1.1,1100
20,0.98,0.74,0.71,0.52,0.7375,738
21,0.65,0.53,0.45,0.33,0.49,490
22,0.42,0.35,0.32,0.21,0.325,325
23,0.22,0.23,0.21,0.15,0.2025,203
24,0.14,0.12,0.14,0.1,0.125,125
25,0.08,0.08,0.07,0.07,0.075,75
26,0.19,0.15,0.13,0.1,0.1425,143
